Company Name,LinkedIn URL,ITRG Status,F27 Account ID18
Chinese Hospital Association,https://www.linkedin.com/company/chinese-hospital,Prospect,0013300001lNNY2AAO
Chipper Cash,https://www.linkedin.com/company/chippercash,Prospect,0014y00002pBNoCAAW
Chronicle Books,https://www.linkedin.com/company/chronicle-books,Prospect,0014000000Vs4sRAAR
CircleCI,https://www.linkedin.com/company/circleci,Prospect,001f300001v8uipAAA
Clari,https://www.linkedin.com/company/clari,Prospect,0013300001dwYxaAAE
Clarify Health Solutions,https://www.linkedin.com/company/clarify-health-solutions,Prospect,001f300001v8WS5AAM
"ClassDojo, Inc. (Class Twist, Inc.)",https://www.linkedin.com/company/classdojo,Prospect,0014y0000259rKFAAY
Clever Inc.,https://www.linkedin.com/company/clever-inc-,Prospect,0013300001lIxIaAAK
ClimateWorks Foundation,https://www.linkedin.com/company/climateworks,Prospect,0014y00002p9MgVAAU
Cloudian Inc,https://www.linkedin.com/company/cloudian-inc,Prospect,0013300001qPyPGAA0
Cobalt,https://www.linkedin.com/company/cobalt_io,Prospect,0014y00002dJd5jAAC
Coblentz Patch Duffy & Bass LLP,https://www.linkedin.com/company/coblentz-patch-duffy-and-bass-llp,Winback,0014000000VANzMAAX
CodeSignal,https://www.linkedin.com/company/codesignal,Prospect,0014y00002vMkcOAAS
Coefficient Giving,https://www.linkedin.com/company/open-philanthropy,Prospect,001a700000LEtT7AAL
Collectively,https://www.linkedin.com/company/collectively-inc,Prospect,0014y00002rUGtoAAG
Computerworld,https://www.linkedin.com/company/computerworld,Prospect,0014y00002l7BaRAAU
Constructor.io,https://www.linkedin.com/company/constructor-io,Prospect,001a700000K96EPAAZ
Contra Costa Water District,https://www.linkedin.com/company/contra-costa-water-district,Prospect,0014000000VALtnAAH
ControlUp,https://www.linkedin.com/company/controlup-technology,Prospect,001f300001whdfVAAQ
Conviva,https://www.linkedin.com/company/conviva,Prospect,0014y000025Al4cAAC
Copper,https://www.linkedin.com/company/copper-inc,Prospect,001f300001v8xmyAAA
Corelight,https://www.linkedin.com/company/corelight,Prospect,001f300001v8yN3AAI
Craigslist,https://www.linkedin.com/company/craigslist,Prospect,0014000000ZqG5wAAF
Cresta,https://www.linkedin.com/company/cresta-inc,Prospect,001f3000022Pdu9AAC
Crunchbase,https://www.linkedin.com/company/crunchbase,Prospect,0013300001ot5KOAAY
Crystal Dynamics,https://www.linkedin.com/company/crystal-dynamics,Prospect,001f300001v99QGAAY
Culture Amp,https://www.linkedin.com/company/cultureamp,Prospect,0014y00002vMl1GAAS
"Cyberhaven, Inc.",https://www.linkedin.com/company/cyberhaven,Prospect,001a700000ClrMvAAJ
"Cytek Biosciences, Inc.",https://www.linkedin.com/company/cytek-biosciences,Prospect,0014y00002U4SexAAF
Data.ai (by Sensor Tower),https://www.linkedin.com/company/dataai,Prospect,0014y00003OU67rAAD
Databook,https://www.linkedin.com/company/databook-labs-inc.,Prospect,001f300001whYx9AAE
DCL Logistics,https://www.linkedin.com/company/dcl,Prospect,001f300001whdnZAAQ
Deepgram,https://www.linkedin.com/company/deepgram,Prospect,0014y00002lwi3EAAQ
Deepwatch,https://www.linkedin.com/company/deepwatchsec,Prospect,001a700000K4J58AAF
Degenkolb Engineers,https://www.linkedin.com/company/degenkolb-engineers,Winback,0014000000VAOdlAAH
Delfi Diagnostics,https://www.linkedin.com/company/delfi-diagnostics,Prospect,0014y00002ltVlmAAE
Delinea,https://www.linkedin.com/company/delinea,Prospect,0014000000bxAiJAAU
Demandbase,https://www.linkedin.com/company/demandbase,Prospect,0013300001lIxipAAC
Denodo,https://www.linkedin.com/company/denodo-technologies,Prospect,0014000000bxAbEAAU
DivcoWest,https://www.linkedin.com/company/divcowest,Winback,001f300001xtRm3AAE
Divvy Homes,https://www.linkedin.com/company/divvy-homes,Prospect,001f300001v8dNJAAY
"Docker, Inc",https://www.linkedin.com/company/docker,Prospect,0013300001dwYyPAAU
Dodge & Cox,https://www.linkedin.com/company/dodge-&-cox,Winback,0014000000VAQMMAA5
Dolls Kill,https://www.linkedin.com/company/dolls-kill,Prospect,001f300001v8NZCAA2
Domino Data Lab,https://www.linkedin.com/company/domino-data-lab,Prospect,0014y00002LxVIbAAN
Doximity,https://www.linkedin.com/company/doximity,Prospect,0013300001qPy05AAC
"Drill Tech Drilling & Shoring, Inc.",https://www.linkedin.com/company/drill-tech-drilling-and-shoring,Prospect,001f300001v94NqAAI
Dronedeploy,https://www.linkedin.com/company/dronedeploy,Prospect,001f300001v8sU2AAI
Duetto,https://www.linkedin.com/company/duetto-research,Prospect,0014000001TrNHJAA3
"E&E Co., Ltd.",https://www.linkedin.com/company/jla-home,Prospect,0014000000VsKN1AAN
Earthjustice,https://www.linkedin.com/company/earthjustice,Winback,001f300001v8iGLAAY
Ease,https://www.linkedin.com/company/ease,Prospect,0014y00002rSEDIAA4
"Eat Just, Inc.",https://www.linkedin.com/company/eat-just-inc,Prospect,001f3000022q5huAAA
"Eaze, Inc.",https://www.linkedin.com/company/eaze-up,Prospect,001a700000K4SF2AAN
"Eden Housing, Inc.",https://www.linkedin.com/company/eden-housing-inc-,Winback,0014000000mY8eUAAS
Edgewood,https://www.linkedin.com/company/edgewoodcenter,Winback,0014000000VALuFAAX
Edpuzzle,https://www.linkedin.com/company/edpuzzle-inc-,Prospect,0014y00002rUO2ZAAW
Egain Corporation,https://www.linkedin.com/company/egain-corporation,Prospect,0014000000Vt5l7AAB
EIS Group Inc,https://www.linkedin.com/company/eisgroupltd,Winback,001f300001whbEAAAY
Elation Health,https://www.linkedin.com/company/elationhealth,Prospect,001f300001v8p6jAAA
Elma Electronic Inc.,https://www.linkedin.com/company/elma-electronic,Prospect,0014000000VsIeFAAV
Embroker,https://www.linkedin.com/company/embroker,Prospect,0014y00002rSku4AAC
Emerson Collective,https://www.linkedin.com/company/emerson-collective,Prospect,001a700000LEjOSAA1
EMPIRE,https://www.linkedin.com/company/empire-sf,Prospect,001a700000K46CwAAJ
Enable,https://www.linkedin.com/company/enable-software,Prospect,0014y00002rSxEyAAK
Enovix Corporation,https://www.linkedin.com/company/enovix-corp-,Prospect,0014y0000275LZdAAM
"Env Services, Inc.",https://www.linkedin.com/company/env-services,Prospect,0014y00002rShzqAAC
Envoy,https://www.linkedin.com/company/envoy-inc,Prospect,0013300001osymFAAQ
"Essai, Inc.",https://www.linkedin.com/company/essai-inc.,Prospect,0013300001lNOXNAA4
Eventbrite,https://www.linkedin.com/company/eventbrite,Prospect,00140000013xKAEAA2
Evenup,https://www.linkedin.com/company/evenup,Prospect,001a700000K9HexAAF
Everlane,https://www.linkedin.com/company/everlane,Prospect,0013300001qPu1AAAS
Exar Corporation,https://www.linkedin.com/company/exar-corporation,Prospect,0013300001lIyw0AAC
Exclusive Networks NA,https://www.linkedin.com/company/exclusive-networks-na,Prospect,0014y00002ihP7IAAU
Exploratorium,https://www.linkedin.com/company/exploratorium,Winback,0014000000VAS4nAAH
"F-Secure, Inc.",https://www.linkedin.com/company/f-secure-corporation,Prospect,0014y00002vMl8kAAC
Factory,https://www.linkedin.com/company/factory-hq,Prospect,001a7000015oItRAAU
FalconX,https://www.linkedin.com/company/thefalconx,Prospect,001a7000015oS8GAAU
Farallon Capital Management,https://www.linkedin.com/company/farallon-capital-management,Winback,0014y00002pC3KyAAK
"Farmer's Business Network, Inc.",https://www.linkedin.com/company/farmers-business-network,Prospect,001f300001v9218AAA
"Fastpath Solutions, LLC",https://www.linkedin.com/company/fastpath-inc-,Prospect,0013300001oswQvAAI
"Fce Benefit Administrators, Inc.",https://www.linkedin.com/company/fce-benefit-administrators,Prospect,001f300001v93KCAAY
Federal Home Loan Bank of San Francisco,https://www.linkedin.com/company/federal-home-loan-bank-of-san-francisco,Prospect,0013300001loDIyAAM
Felton Institute,https://www.linkedin.com/company/felton-institute,Prospect,001f300001z9QQQAA2
Financial Technology Partners / FT Partners,https://www.linkedin.com/company/financial-technology-partners,Prospect,001f300001v8lMsAAI
First Round Capital,https://www.linkedin.com/company/first-round-capital,Prospect,001a7000015pho8AAA
Firstup,https://www.linkedin.com/company/firstup-io,Prospect,0014y00002bbUyiAAE
"Firstup, Inc. (formerly Dynamic Signal)",https://www.linkedin.com/company/dynamic-signal,Prospect,0014000001aNztpAAC
Flickr,https://www.linkedin.com/company/flickr,Prospect,0014y0000276pCUAAY
Flutterwave,https://www.linkedin.com/company/flutterwave,Prospect,001f3000022PdyIAAS
FLYR,https://www.linkedin.com/company/flyrinc,Prospect,001f300001whcQAAAY
Food Bank of Contra Costa and Solano,https://www.linkedin.com/company/food-bank-of-contra-costa-and-solano,Prospect,0014y00002ihHX8AAM
Forma,https://www.linkedin.com/company/joinforma,Prospect,0014y00002pB3E6AAK
Fountain,https://www.linkedin.com/company/fountaininc,Prospect,001f300001v8rr1AAA
Foxit Software Incorporated,https://www.linkedin.com/company/foxit-corporation,Prospect,001f300001whaaCAAQ
Front,https://www.linkedin.com/company/fronthq,Prospect,0013300001loFDxAAM
Gala,https://www.linkedin.com/company/gogala,Prospect,001a7000015owytAAA
Galway Holdings,https://www.linkedin.com/company/galway-holdings,Prospect,0014y00002jRpekAAC
Gametime,https://www.linkedin.com/company/gametime-united,Prospect,001f300001v8wcxAAA
General Catalyst,https://www.linkedin.com/company/general-catalyst,Prospect,0014y00002LxNT3AAN
Generate,https://www.linkedin.com/company/generatecapital,Prospect,0014y00002lueGcAAI
Getaround,https://www.linkedin.com/company/getaround,Prospect,001a700000K3uBbAAJ
GI Partners,https://www.linkedin.com/company/gi-partners,Prospect,0014y00002jS8kgAAC
Gladly,https://www.linkedin.com/company/gladly-inc,Prospect,001f300001wheOZAAY
"Glass, Lewis & Co.",https://www.linkedin.com/company/glass-lewis-&-co-,Prospect,001f300001v962dAAA
Global Fund for Women,https://www.linkedin.com/company/global-fund-for-women,Prospect,0014y00002vNGvcAAG
"Globality, Inc.",https://www.linkedin.com/company/globality-inc-,Prospect,001f300001v8q7kAAA
"Glooko, Inc.",https://www.linkedin.com/company/glooko,Prospect,001f300001v8jvYAAQ
Go1 USA LLC,https://www.linkedin.com/company/go1,Prospect,001a700000HNzp6AAD
Golden Gate Capital,https://www.linkedin.com/company/golden-gate-capital,Prospect,0014y00002rScmFAAS
Golden Gate National Parks Conservancy,https://www.linkedin.com/company/golden-gate-national-parks-conservancy,Winback,0014000000VAPn5AAH
Gong,https://www.linkedin.com/company/gong-io,Prospect,0014y00002pC2xtAAC
Gordon and Betty Moore Foundation,https://www.linkedin.com/company/moore-foundation,Prospect,0014y00002ihHtpAAE
Gorgias,https://www.linkedin.com/company/gorgias,Prospect,001a700000K3uBdAAJ
Gotion Inc.,https://www.linkedin.com/company/gotion-inc-,Prospect,0014y00002vOyHFAA0
Granular,https://www.linkedin.com/company/granular,Prospect,0014y00002VNjGrAAL
Greylock Partners,https://www.linkedin.com/company/greylock-partners,Prospect,0014y00002rSnpFAAS
Grove Collaborative,https://www.linkedin.com/company/grove-collaborative,Prospect,001a7000003ne62AAA
GrubMarket Inc.,https://www.linkedin.com/company/grubmarket-inc-,Prospect,001f300001v99TKAAY
GSI Technology,https://www.linkedin.com/company/gsi-technology,Prospect,001f300001v8aw4AAA
Hall Capital Partners LLC,https://www.linkedin.com/company/hall-capital-partners-llc,Prospect,001f300001v8yvXAAQ
Hanson Bridgett LLP,https://www.linkedin.com/company/hanson-bridgett-llp,Prospect,001f300001v8MINAA2
Harness,https://www.linkedin.com/company/harnessinc,Prospect,001f300001whdrBAAQ
"Harris & Associates, Inc.",https://www.linkedin.com/company/harris-&-associates,Prospect,0014000000VsJQJAA3
Harvey Corporation,https://www.linkedin.com/company/harvey-ai,Prospect,001a700000BBHdqAAH
Harvey Nash Inc.,https://www.linkedin.com/company/harvey-nash,Prospect,0014y00002jSMvSAAW
Hathaway Dinwiddie Construction Group,https://www.linkedin.com/company/hathaway-dinwiddie,Prospect,001a700000LEmGZAA1
Haus,https://www.linkedin.com/company/haus-analytics,Prospect,001a7000015owz1AAA
Headspace,https://www.linkedin.com/company/headspace-meditation-limited,Prospect,001f300001yqdJyAAI
HealthRIGHT 360,https://www.linkedin.com/company/healthright-360,Winback,0013300001osv1qAAA
Heartflow,https://www.linkedin.com/company/heartflow-inc,Prospect,0013300001qPtOQAA0
Herrero Builders,https://www.linkedin.com/company/herrero-builders,Prospect,0014y00002ihRWAAA2
"Highnote Platform, Inc.",https://www.linkedin.com/company/highnote,Prospect,0014y000032ahUxAAI
Hive,https://www.linkedin.com/company/hiveai,Prospect,001a700000K3uBmAAJ
Homebase,https://www.linkedin.com/company/homebase-app,Prospect,0014y00003OUmtfAAD
Homebound,https://www.linkedin.com/company/modern-homebuilding,Prospect,001a7000015ouXJAAY
HoneyBook,https://www.linkedin.com/company/honeybook,Prospect,001f300001v8rBYAAY
"Honeycomb (Hound Technology, Inc.)",https://www.linkedin.com/company/honeycomb.io,Prospect,001a7000007GGT9AAO
Horizon3.ai,https://www.linkedin.com/company/horizon3ai,Prospect,0014y00002rUdMrAAK
Hotwire,https://www.linkedin.com/company/hotwireglobal,Prospect,0014y00002jRq4EAAS
Houzz,https://www.linkedin.com/company/houzz,Prospect,0013300001dwYeGAAU
Hover Inc.,https://www.linkedin.com/company/hover-inc-,Prospect,0014y000025ADPnAAO
Human Interest Inc.,https://www.linkedin.com/company/humaninterest,Prospect,0014y00002U43I8AAJ
Huseby Inc,https://www.linkedin.com/company/huseby-inc.,Prospect,001f300001v8hCeAAI
"Hydraulic Controls, Inc.",https://www.linkedin.com/company/hydrauliccontrolsinc,Prospect,001a700000LEegwAAD
"Ichor Holdings, Ltd.",https://www.linkedin.com/company/ichor-systems-inc.,Prospect,001a700000LEaLqAAL
"Iconiq Capital, LLC",https://www.linkedin.com/company/iconiq-capital-llc,Prospect,001f300001v8LHJAA2
IEM Holdings Group Inc.,https://www.linkedin.com/company/industrial-electric-mfg,Winback,0014y00002jRqtlAAC
Imperfect Foods,https://www.linkedin.com/company/imperfect-foods-spc,Prospect,001f300001v8TDHAA2
Included Health,https://www.linkedin.com/company/includedhealth,Prospect,0013300001lNPCRAA4
"Infinitus Systems, Inc.",https://www.linkedin.com/company/infinitusai,Prospect,0014y00002raAeKAAU
Influxdata Inc.,https://www.linkedin.com/company/influxdb,Prospect,0014y00002WakS4AAJ
InMobi,https://www.linkedin.com/company/inmobi,Prospect,0014y00002jRlEEAA0
Innovaccer,https://www.linkedin.com/company/innovaccer,Prospect,001f300001v99UqAAI
Insidesource,https://www.linkedin.com/company/insidesource,Prospect,0014y0000276t52AAA
"InsideView, A Demandbase Company",https://www.linkedin.com/company/insideview-inc,Prospect,0014000000ZnFXTAA3
Instawork,https://www.linkedin.com/company/instawork,Prospect,001f300001v8MJ0AAM
Institute on Aging,https://www.linkedin.com/company/institute-on-aging,Prospect,001f300001v8y8wAAA
Integral Development Corp.,https://www.linkedin.com/company/integral-development-corporation,Prospect,001f300001v8gUPAAY
"Interior Architects, Inc.",https://www.linkedin.com/company/ia-interior-architects,Prospect,0014y0000276q8lAAA
Internet Archive,https://www.linkedin.com/company/internet-archive,Prospect,001f300001v95QBAAY
"Intershop Communications, Inc.",https://www.linkedin.com/company/intershop-communications,Prospect,001f300001v8uYhAAI
Interwell Health,https://www.linkedin.com/company/interwell-health,Prospect,001a7000001Fh9DAAS
"Irhythm Technologies, Inc.",https://www.linkedin.com/company/irhythm-technologies-inc-,Prospect,00140000011lkU3AAI
"Ironclad, Inc.",https://www.linkedin.com/company/ironclad-inc-,Prospect,001f300001v8weyAAA
Iterable,https://www.linkedin.com/company/iterable,Prospect,001f300001v8uHUAAY
