account_id,account_name,tier,tier_reason,scope_status,routed_to,industry,revenue_musd,parent_company,city,zip,membership_status,last_reviewed
001f300001v8lMsAAI,Financial Technology Partners / FT Partners,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001a7000015pho8AAA,First Round Capital,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002bbUyiAAE,Firstup,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014000001aNztpAAC,"Firstup, Inc. (formerly Dynamic Signal)",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,"Firstup, Inc.",,,never,2026-08-13
0014y0000276pCUAAY,Flickr,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,Awesome,,,never,2026-08-13
001f3000022PdyIAAS,Flutterwave,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002ihHX8AAM,Food Bank of Contra Costa and Solano,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002pB3E6AAK,Forma,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v8rr1AAA,Fountain,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001whaaCAAQ,Foxit Software Incorporated,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,Foxit,,,never,2026-08-13
0013300001loFDxAAM,Front,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002jS8kgAAC,GI Partners,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v8aw4AAA,GSI Technology,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001a7000015owytAAA,Gala,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002jRpekAAC,Galway Holdings,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v8wcxAAA,Gametime,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,"Gametime United, Inc.",,,never,2026-08-13
0014y00002LxNT3AAN,General Catalyst,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002lueGcAAI,Generate,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,Generate Capital,,,never,2026-08-13
001a700000K3uBbAAJ,Getaround,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001wheOZAAY,Gladly,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,"Gladly Software, Inc.",,,never,2026-08-13
001f300001v962dAAA,"Glass, Lewis & Co.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002vNGvcAAG,Global Fund for Women,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v8q7kAAA,"Globality, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v8jvYAAQ,"Glooko, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001a700000HNzp6AAD,Go1 USA LLC,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002rScmFAAS,Golden Gate Capital,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014000000VAPn5AAH,Golden Gate National Parks Conservancy,1,"Winback, lapsed membership on the account",in-book,,,,,,,lapsed,2026-08-13
0014y00002pC2xtAAC,Gong,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002ihHtpAAE,Gordon and Betty Moore Foundation,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001a700000K3uBdAAJ,Gorgias,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002vOyHFAA0,Gotion Inc.,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,"Gotion High-tech Co., Ltd.",,,never,2026-08-13
0014y00002rSnpFAAS,Greylock Partners,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001a7000003ne62AAA,Grove Collaborative,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v99TKAAY,GrubMarket Inc.,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v8yvXAAQ,Hall Capital Partners LLC,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,Pathstone,,,never,2026-08-13
001f300001v8MINAA2,Hanson Bridgett LLP,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001whdrBAAQ,Harness,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014000000VsJQJAA3,"Harris & Associates, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001a700000BBHdqAAH,Harvey Corporation,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001a700000LEmGZAA1,Hathaway Dinwiddie Construction Group,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001a7000015owz1AAA,Haus,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001yqdJyAAI,Headspace,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0013300001osv1qAAA,HealthRIGHT 360,1,"Winback, lapsed membership on the account",in-book,,,,,,,lapsed,2026-08-13
0013300001qPtOQAA0,Heartflow,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002ihRWAAA2,Herrero Builders,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y000032ahUxAAI,"Highnote Platform, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001a700000K3uBmAAJ,Hive,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00003OUmtfAAD,Homebase,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,"Pioneer Works, Inc.",,,never,2026-08-13
001a7000015ouXJAAY,Homebound,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v8rBYAAY,HoneyBook,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001a7000007GGT9AAO,"Honeycomb (Hound Technology, Inc.)",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,Honeycomb,,,never,2026-08-13
0014y00002rUdMrAAK,Horizon3.ai,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0013300001dwYeGAAU,Houzz,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y000025ADPnAAO,Hover Inc.,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002U43I8AAJ,Human Interest Inc.,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
